relative_path,person,label,filename,bytes,sha256,width,height,fps,duration
P01/Bạn quê ở đâu/005.MOV,P01,Bạn quê ở đâu,005.MOV,10186969,1534e90846b7118672f1b69e9c36845d823b3d5159b919c2de0aa6191a4466d4,1920,1080,59.9706,6.8033
P01/Bạn quê ở đâu/006.MOV,P01,Bạn quê ở đâu,006.MOV,9701704,89ba61e835be37cfc4cf850f94fffe69eee92ba94f61fce97cdee5dde30308fe,1920,1080,59.9692,6.5033
P01/Bạn tên gì/001.MOV,P01,Bạn tên gì,001.MOV,8015514,d84a890a4e16bfb02e92f4066c72254be67b10988bbb11b13900c536c938a27d,1920,1080,59.9624,5.32
P01/Bạn tên gì/002.MOV,P01,Bạn tên gì,002.MOV,8802279,3fc1ea51e1c0a135edd852bfdab452abc33759c7efef9cf124a3ba986db33ec2,1920,1080,59.9654,5.7867
P01/Bạn tên gì/003.MOV,P01,Bạn tên gì,003.MOV,6980907,35f3c5b6f9bf330157b574e350f16606c03f1ac637308bd4efb6241db10280af,1920,1080,59.9569,4.6367
P01/Bạn tên gì/004.MOV,P01,Bạn tên gì,004.MOV,7555391,752b768fadb51528f9c1d733b66bcc35bf1184e3ae029e71bb24091a43982e7e,1920,1080,59.9599,4.9867
P01/Bạn tên gì/005.MOV,P01,Bạn tên gì,005.MOV,9827620,8bcd13787defe43cb8053d04afc652333114cc4746ddfc9f7caede8a73a0b6f4,1920,1080,59.9694,6.5367
P01/Bạn tên gì/006.MOV,P01,Bạn tên gì,006.MOV,9576275,c28df9e8994d13345536042b17a5f9f1a3069872016b829e18fa8430dca283ae,1920,1080,59.9686,6.37
P01/Bạn đang làm gì/001.MOV,P01,Bạn đang làm gì,001.MOV,8084143,cc1764f05bfbe66beec01a03c262873b8fec0d4649f549dd81164a31ec2dde3e,1920,1080,59.963,5.4033
P01/Bạn đang làm gì/002.MOV,P01,Bạn đang làm gì,002.MOV,8646537,29c147e758211b5a996c4cc4ff57aef41b11c175f24651b95ce02dfd76e9aacc,1920,1080,59.9652,5.7533
P01/Bạn đang làm gì/003.MOV,P01,Bạn đang làm gì,003.MOV,6932144,9af20d1c93ce410bb3bf6419e75f5a2001862a9c44b7bf0965d40c1cfa200868,1920,1080,59.9567,4.62
P01/Bạn đang làm gì/004.MOV,P01,Bạn đang làm gì,004.MOV,7178233,80ac61505bd5aa40dc008cd87e545cd4fa062f2888a73d2e2528ed2bac8ea470,1920,1080,59.9576,4.72
P01/Bạn đang làm gì/005.MOV,P01,Bạn đang làm gì,005.MOV,10621331,9c4e03db68dedbec17099882f3dc55412dfdf33b6488ce8cac4887762dc26561,1920,1080,59.9576,7.0717
P01/Bạn đang làm gì/006.MOV,P01,Bạn đang làm gì,006.MOV,9763160,11ec2ca3cbfa15aabce9d68d39b9e3a5b00ab42262fc12e06b515e9ec1f87a1e,1920,1080,59.9694,6.5367
P01/Chuyện gì/001.MOV,P01,Chuyện gì,001.MOV,6757101,b608512e1e68bbc6dee53451c9624b198fd41d5ba8acfb1625eed06b1c039c93,1920,1080,59.9541,4.3533
P01/Chuyện gì/002.MOV,P01,Chuyện gì,002.MOV,6640586,716aa5af672d36d404c4332eae372326c6bef9c89e838343ec22cc53ca920d28,1920,1080,59.9535,4.3033
P01/Chuyện gì/003.MOV,P01,Chuyện gì,003.MOV,6880778,1f5a6d8cf4ffa0a30b9dd6869958825c9fd898271da2046f624c5743d4db8d6c,1920,1080,59.9549,4.4367
P01/Chuyện gì/004.MOV,P01,Chuyện gì,004.MOV,7019334,275141b8f6b3433eb9118b02d5caa9041e962879e57ed59b02e01821503e3fec,1920,1080,59.9561,4.5533
P01/Chuyện gì/005.MOV,P01,Chuyện gì,005.MOV,8111390,fb87649fbb5e45ede2aa0753f3bc66591eb2ff2a5701b0ef4f4b35f17ef6db51,1920,1080,59.962,5.27
P01/Chuyện gì/006.MOV,P01,Chuyện gì,006.MOV,8608023,2f4d2ae21652db768e4822a37bcd39428eb2049dc5918a0c2b70accdb6b62615,1920,1080,59.9643,5.6033
P01/Cảm ơn/001.MOV,P01,Cảm ơn,001.MOV,7231523,52322739d405e7298900b8477c5458788a12aa65b316e4a8eb568dc0fcafa8ba,1920,1080,59.9575,4.7033
P01/Cảm ơn/002.MOV,P01,Cảm ơn,002.MOV,6450648,643efbf304237b0ec5a4e678dc18a0f41fc7a42df70fd927fbe5593d994e203f,1920,1080,59.9528,4.2367
P01/Cảm ơn/003.MOV,P01,Cảm ơn,003.MOV,5300487,82b242578eb7f849e5324436e8eb7df7a0336fcf117f325c2f19e45d5514e009,1920,1080,59.971,3.4517
P01/Cảm ơn/004.MOV,P01,Cảm ơn,004.MOV,5942927,5c04bc58e1e8002f140d5ca8fc032a2a5b351629b6f1a72b01805932ac6df734,1920,1080,59.974,3.8517
P01/Cảm ơn/005.MOV,P01,Cảm ơn,005.MOV,8161164,8d1d379d5e626f9328b56d3ab01c5399d4c4a67c9317d7270ac029a94928a5b8,1920,1080,59.9626,5.3533
P01/Cảm ơn/006.MOV,P01,Cảm ơn,006.MOV,7346503,fdce13e13dfbd9da4c52f4961ec57005a8f2ee6c7101de93ea4d85ff7d6d6163,1920,1080,59.9581,4.77
P01/Gọi xe cứu thương/001.MOV,P01,Gọi xe cứu thương,001.MOV,8528024,693aba6f131143c99a75df4e5fb748c6da8e03a3246c448561f82baef18c3d8d,1920,1080,59.9642,5.5867
P01/Gọi xe cứu thương/002.MOV,P01,Gọi xe cứu thương,002.MOV,8505905,d5731f5ad6483f81d80964dc7ed4d358081df5862e3e9d8e2b92a29ebcb16dbe,1920,1080,59.964,5.5533
P01/Gọi xe cứu thương/003.MOV,P01,Gọi xe cứu thương,003.MOV,10724446,0133859e7915f2a98643d5f906fa718c73a1bd5f4688bb7f27bf0cdc7449d577,1920,1080,59.9571,6.9883
P01/Gọi xe cứu thương/004.MOV,P01,Gọi xe cứu thương,004.MOV,8907637,a31f961550791f07ece5d3a8dcc21c1375c37b63f181a7624026f4fbcb92532f,1920,1080,59.9651,5.7367
P01/Gọi xe cứu thương/005.MOV,P01,Gọi xe cứu thương,005.MOV,10415576,0354bfb10151c97dd1c2e83a1f50b6869db44209eb82fb26d65337afa08f74d5,1920,1080,59.9704,6.7533
P01/Gọi xe cứu thương/006.MOV,P01,Gọi xe cứu thương,006.MOV,10313813,718cd255cf91550d44a13f7fa36b844ea630f2834b7351953df7134b6e24ebf5,1920,1080,59.9699,6.6533
P01/Hôm nay bạn khỏe không/001.MOV,P01,Hôm nay bạn khỏe không,001.MOV,8520100,58fd5a4fd924e2acf5f8b1ff8dee578f9821cf0549e8ba645fdd4766d665bfd9,1920,1080,59.9641,5.57
P01/Hôm nay bạn khỏe không/002.MOV,P01,Hôm nay bạn khỏe không,002.MOV,8717448,da9f61edbbc3262dd61c2b1d8a0d92e357ce0b6aa6d131b549200d519e26d543,1920,1080,59.9644,5.62
P01/Hôm nay bạn khỏe không/003.MOV,P01,Hôm nay bạn khỏe không,003.MOV,7795815,b9e4de04bc22a35a9042a58d527a972dceff88310f28f21db0f4227a60b88848,1920,1080,59.9606,5.07
P01/Hôm nay bạn khỏe không/004.MOV,P01,Hôm nay bạn khỏe không,004.MOV,8218516,5aa665ff7b92d651b5c86c70cbabffc090aba29fa7d9725d41ed1c66d5090ff5,1920,1080,59.9623,5.3033
P01/Hôm nay bạn khỏe không/005.MOV,P01,Hôm nay bạn khỏe không,005.MOV,12825196,f6fc4baaa5f6157974c879253bfa29bc4fb7eedc39a87e1c40d5223272529074,1920,1080,59.9639,8.3217
P01/Hôm nay bạn khỏe không/006.MOV,P01,Hôm nay bạn khỏe không,006.MOV,10683616,078b64dc79463f24ba4c7968e6e8c12360c27f63c8e970c0c552eca1298481eb,1920,1080,59.9564,6.8883
P01/Lâu rồi không gặp/001.MOV,P01,Lâu rồi không gặp,001.MOV,8923417,462fd7fd10d657ce2b8146c3a6575188cc18b6955c031aee1acb63650afcd883,1920,1080,59.9649,5.7033
P01/Lâu rồi không gặp/002.MOV,P01,Lâu rồi không gặp,002.MOV,8764824,c27b2a449f143d3706c00e785a7f9d3365c568f36cc037392105dc92442859fd,1920,1080,59.9644,5.62
P01/Lâu rồi không gặp/003.MOV,P01,Lâu rồi không gặp,003.MOV,7732631,ee66ba2810ac07d35f63a897abaf2aa430145de39f37f53311f0052802da8244,1920,1080,59.9599,4.9867
P01/Lâu rồi không gặp/004.MOV,P01,Lâu rồi không gặp,004.MOV,9217571,93bff0b659bdd4af5e700d4961075e6623d8b70e2014d34531804c09cc86c37e,1920,1080,59.9664,5.9533
P01/Lâu rồi không gặp/005.MOV,P01,Lâu rồi không gặp,005.MOV,11041414,615e690aaf3f0bf1b76d69807dad9f6c1134acd99e3643b4dcc03b72c3e78420,1920,1080,59.9584,7.205
P01/Lâu rồi không gặp/006.MOV,P01,Lâu rồi không gặp,006.MOV,9889532,5f701a16bea31dd7bc54ea045ed12387bf87ad2626347ee02dae636f1df3739e,1920,1080,59.9689,6.4367
P01/Mấy tuổi/001.MOV,P01,Mấy tuổi,001.MOV,7154512,764583d3a36430e06c96807f9013eb6b54b07a19e8053600512669592df9340b,1920,1080,59.9569,4.6367
P01/Mấy tuổi/002.MOV,P01,Mấy tuổi,002.MOV,7505809,939d9f2b79abad9be287312faf6c67ef3654738075c3753698d75a812d683a11,1920,1080,59.9581,4.77
P01/Mấy tuổi/003.MOV,P01,Mấy tuổi,003.MOV,5940327,7648cb2a43d201e8f5bc022892406bf96c3dc9970a7563c521436f880e2e150c,1920,1080,59.9735,3.7683
P01/Mấy tuổi/004.MOV,P01,Mấy tuổi,004.MOV,6192546,035e47a56ef3e5f9a6621e0d59c40fd38d4a187b0f1c216ba9e755a478b3f490,1920,1080,59.9749,3.985
P01/Mấy tuổi/005.MOV,P01,Mấy tuổi,005.MOV,9736087,8458a58d490b27a139385067ceac3b4391331ff5405aeb3aa6068286af9d9ee5,1920,1080,59.9684,6.3367
P01/Mấy tuổi/006.MOV,P01,Mấy tuổi,006.MOV,8309104,fd0da519c1806fd8bef67581d9d02bef854812b2d102a93fbf33425ade52d314,1920,1080,59.963,5.4033
P01/Như thế nào/001.MOV,P01,Như thế nào,001.MOV,5987207,5dca6eaa8ff5390b1e91868e0c35c0d4728bd74884ed326d24eeca1739b26346,1920,1080,59.9738,3.8183
P01/Như thế nào/002.MOV,P01,Như thế nào,002.MOV,5956576,3344a17b3900306addd0a6cb200e39e2eb7980e9737501babb939d42120cf7ad,1920,1080,59.9736,3.785
P01/Như thế nào/003.MOV,P01,Như thế nào,003.MOV,5172996,536a99d242c60ae5be07421bb14300fe30cbf0a21400e905e41314f0e2031944,1920,1080,59.9702,3.3517
P01/Như thế nào/004.MOV,P01,Như thế nào,004.MOV,5522858,3691fae244b12d784e12f4838da9e3d5dfd95d93a77e00fbcc3c64e9c305b9f0,1920,1080,59.9722,3.6017
P01/Như thế nào/005.MOV,P01,Như thế nào,005.MOV,7364637,679fa7a1e04ef1c87977d52c4cfd981a736a85f5f3b4c07c3144ebf581a8c6e5,1920,1080,59.9578,4.7367
P01/Như thế nào/006.MOV,P01,Như thế nào,006.MOV,7356927,a9c108615f99bad7208c7f8a5b223f9556dc6d6024bc9f2b8f498e1da225bca4,1920,1080,59.9578,4.7367
P01/Rất vui được gặp bạn/001.MOV,P01,Rất vui được gặp bạn,001.MOV,6505433,75ff571ab97859adbd70b99c64e3ffbd3896e3e7f01aeb5f8aa9070375dcc8f0,1920,1080,59.9528,4.2367
P01/Rất vui được gặp bạn/002.MOV,P01,Rất vui được gặp bạn,002.MOV,9233881,11c799a310766560febeed58301dc0eaff12d82446826734fae1976f269e5e1a,1920,1080,59.9669,6.0367
P01/Rất vui được gặp bạn/003.MOV,P01,Rất vui được gặp bạn,003.MOV,8226623,2013576533f5e8cd5ccf3c2179d1b429ba7100962583f0f3e5aa39d26b660dfa,1920,1080,59.9628,5.37
P01/Rất vui được gặp bạn/004.MOV,P01,Rất vui được gặp bạn,004.MOV,5919145,e542e878f537949625c5fc7f633ce1c8388697015eda014a66d710c673402cfa,1920,1080,59.9737,3.8017
P01/Rất vui được gặp bạn/005.MOV,P01,Rất vui được gặp bạn,005.MOV,9110611,6b3e0b7bcbf14d5d31d20c317e151707b0fb3f032ccc12b17f55263b49714195,1920,1080,59.9662,5.92
P01/Rất vui được gặp bạn/006.MOV,P01,Rất vui được gặp bạn,006.MOV,9313245,c4990f76cccfe018be814e75f32e917b59ea38ea06435a30aebefa6f09feee7d,1920,1080,59.9671,6.07
P01/Sao thế/001.MOV,P01,Sao thế,001.MOV,5221153,0ff01e19c3e4cb598962ac5dc2d586c4c5e0fd7ce2923e1b12af7262e246e057,1920,1080,59.9705,3.385
P01/Sao thế/002.MOV,P01,Sao thế,002.MOV,5472158,c2fe4a657d5ab4abcfa840ef719debadef768452b6cf635c734f223c7d5971aa,1920,1080,59.9718,3.5517
P01/Sao thế/003.MOV,P01,Sao thế,003.MOV,4687128,754acc83a938b279bf17e516e2a4f440fcd0f08f6ac659e4a6a0e91ce743ab79,1920,1080,59.9665,2.985
P01/Sao thế/004.MOV,P01,Sao thế,004.MOV,5050454,d134fc86fbbef681547943a582f98f54affc12acadd49507d847f454c2735852,1920,1080,59.9694,3.2683
P01/Sao thế/005.MOV,P01,Sao thế,005.MOV,7054268,b5c4b62f66650d6bb2a31220628c285a68c0f642484ec4a4e102ddbed2a1836d,1920,1080,59.9566,4.6033
P01/Sao thế/006.MOV,P01,Sao thế,006.MOV,6745415,6b683f3928b01f0bd5f44766ec934b06ace265262c27a20fc03b4959fc2b2866,1920,1080,59.9544,4.3867
P01/Siêu thị/001.MOV,P01,Siêu thị,001.MOV,7281793,7caba7f80794d753548646728b797175e801818f1eed5f13e942ab5448522847,1920,1080,59.9573,4.6867
P01/Siêu thị/002.MOV,P01,Siêu thị,002.MOV,6434603,4fbbcc470de5eb144a558c4ea283fca801f7bdcca8d7141d49a504a5a741fa85,1920,1080,59.952,4.17
P01/Siêu thị/003.MOV,P01,Siêu thị,003.MOV,4751535,1a7bf41cad4cf7d61b424d2495eea7bc35c75a2ea82c9137d24d7c209d0c6e24,1920,1080,59.9671,3.035
P01/Siêu thị/004.MOV,P01,Siêu thị,004.MOV,5917616,e49ef9bae722f24a9b07acb9a2ddaeb1b524be27fc5b3e82f1998f6b379a6d95,1920,1080,59.9737,3.8017
P01/Siêu thị/005.MOV,P01,Siêu thị,005.MOV,8097419,d1679439e0fe5e67f3243d4175490cdcc661a9efd28a7ab4751777b768e3bc7d,1920,1080,59.9618,5.2367
P01/Siêu thị/006.MOV,P01,Siêu thị,006.MOV,7670560,8d14606137817dcc9a9339f8a31a213a04f92367b1c3e41561037aa5ecc68aba,1920,1080,59.9596,4.9533
P01/Tôi bình thường/001.MOV,P01,Tôi bình thường,001.MOV,6922809,ad0079637eefb36a6a63e9c731875e7df2d10ca31913d8398ca8f1ae0a24293a,1920,1080,59.9556,4.5033
P01/Tôi bình thường/002.MOV,P01,Tôi bình thường,002.MOV,6873254,5157bc597063664be2c3f25ebb2476a23e625d256ed6153f2c04775e234d2f8e,1920,1080,59.9558,4.52
P01/Tôi bình thường/003.MOV,P01,Tôi bình thường,003.MOV,5022722,0a47b1132070561bd762b6a083a0ff985a4d04d2977779c962ad218c6f17abf3,1920,1080,59.9694,3.2683
P01/Tôi bình thường/004.MOV,P01,Tôi bình thường,004.MOV,5396680,6a0de3615dfdef2569ae381bba0f74377e734c00e0f426182c0aa040bb07fbd9,1920,1080,59.9716,3.5183
P01/Tôi bình thường/005.MOV,P01,Tôi bình thường,005.MOV,8352307,1f7f12eb2053c451414da88ad8a4a8cba5805fdafa12e87bdaccc660e603af52,1920,1080,59.9634,5.47
P01/Tôi bình thường/006.MOV,P01,Tôi bình thường,006.MOV,8422720,50b5edd0c6691bac4172859813e7310a80c814521875493c3ef4eee4143b985b,1920,1080,59.964,5.5533
P01/Tôi không khỏe/001.MOV,P01,Tôi không khỏe,001.MOV,8628604,c8e514d725a506f033de3cf5af32e31ca6eeb0c945c6316296890319fb8805da,1920,1080,59.9644,5.62
P01/Tôi không khỏe/002.MOV,P01,Tôi không khỏe,002.MOV,8396801,bbb109c68f1779e42e70ea99954e1ee581c2442e52f0a42e491ce07d4fd7a9d1,1920,1080,59.9638,5.52
P01/Tôi không khỏe/003.MOV,P01,Tôi không khỏe,003.MOV,6581985,2ad1f2839686f30494d4367f2d4601f8c7d6564a799ec048ed81a605db4f512d,1920,1080,59.9535,4.3033
P01/Tôi không khỏe/004.MOV,P01,Tôi không khỏe,004.MOV,6427016,e85c432f9f07937666feae32e774cf45c2d9fa664e9695f9cb76af68358a8a9b,1920,1080,59.9526,4.22
P01/Tôi không khỏe/005.MOV,P01,Tôi không khỏe,005.MOV,10230680,41b5b1260a6d7e22bd423fa850e9380973a0be5b20304539de21125ef9418cc2,1920,1080,59.9702,6.7033
P01/Tôi không khỏe/006.MOV,P01,Tôi không khỏe,006.MOV,8821051,d833e3c7323a1b4f8162a7b3ce174d911b2fd318112b515864143d1302067ac2,1920,1080,59.9653,5.77
P01/Tôi khỏe/001.MOV,P01,Tôi khỏe,001.MOV,6501842,9480fe2e9546a67c89389b32c2670de2d75b7c7b4f67b377cf27c667ff36d616,1920,1080,59.9532,4.27
P01/Tôi khỏe/002.MOV,P01,Tôi khỏe,002.MOV,6930546,cdbd53f40dbbced0a3b40be12e0b44b05a33adaa669d940ef7375000fb8b13bf,1920,1080,59.9562,4.57
P01/Tôi khỏe/003.MOV,P01,Tôi khỏe,003.MOV,5873066,393f8838284c3f364498638c582b6b03081ae1df62b5d55d7421456cf664c7df,1920,1080,59.9738,3.8183
P01/Tôi khỏe/004.MOV,P01,Tôi khỏe,004.MOV,6454635,98efe6179bb01e647ac2ada0faa6d0d044ae46d81c6c1582b440b4c82e7467fb,1920,1080,59.9528,4.2367
P01/Tôi khỏe/005.MOV,P01,Tôi khỏe,005.MOV,8857905,c83ee9d92914f5f3e3de07099112522fcd896c014ab4a2e15df86b4c320275a6,1920,1080,59.9656,5.82
P01/Tôi khỏe/006.MOV,P01,Tôi khỏe,006.MOV,8391621,7d014d6aa7c997d81a142486d16d1a33019997a602c22618125a4583417773d4,1920,1080,59.9637,5.5033
P01/Tạm biệt/001.MOV,P01,Tạm biệt,001.MOV,5659081,ab1d00ebb3a234715d256c2a8fe609e7e9a340daab9b94a99f658d311413359c,1920,1080,59.9729,3.685
P01/Tạm biệt/002.MOV,P01,Tạm biệt,002.MOV,6353770,4910a3f4f277f6f04b29180404a2cff668301276476b56abf21715ab5a8055cb,1920,1080,59.9515,4.12
P01/Tạm biệt/003.MOV,P01,Tạm biệt,003.MOV,4096736,9ffb379b1b88c8a2a1b53cbfeac4fd60b59922764b1ddc32cddb91e86fb5d954,1920,1080,59.9623,2.6517
P01/Tạm biệt/004.MOV,P01,Tạm biệt,004.MOV,5139827,6c6bbeb2dc07348ee8722badb7e93195c80268124f5d6cfb1861417d6943f3eb,1920,1080,59.97,3.335
P01/Tạm biệt/005.MOV,P01,Tạm biệt,005.MOV,7487190,518e12348e63b84bebb85e3cbaeaf0e6fc8e8a6fa15126b5e2e279b1fbca6ebb,1920,1080,59.9582,4.7867
P01/Tạm biệt/006.MOV,P01,Tạm biệt,006.MOV,6773196,127338e96d48c6766facd680c233b3fe8cb18c1e45fd9d44856ef81c75400043,1920,1080,59.9546,4.4033
P01/Về nhà cẩn thận/001.MOV,P01,Về nhà cẩn thận,001.MOV,8454368,b2ce7090c66645452a0eee15eb15f0f3400afaac6c5e1e8069d3031c78eb0349,1920,1080,59.9643,5.6033
P01/Về nhà cẩn thận/002.MOV,P01,Về nhà cẩn thận,002.MOV,8722860,9ca9d7f59bc1c040ce5ef6c77b5a7493a3595e35017d934bfa43f6d460080ef2,1920,1080,59.9649,5.7033
P01/Về nhà cẩn thận/003.MOV,P01,Về nhà cẩn thận,003.MOV,7702446,63eb5bc3d06e62d7113a044a8f7ed40c34d2e15928e9897e3cedf96829c0632f,1920,1080,59.9606,5.07
P01/Về nhà cẩn thận/004.MOV,P01,Về nhà cẩn thận,004.MOV,8229721,d980231c004e072aec24ebb134fab9f994350c94e4a466397bfe93b9f664d581,1920,1080,59.9632,5.4367
P01/Về nhà cẩn thận/005.MOV,P01,Về nhà cẩn thận,005.MOV,11910330,ccbdc55e8bd386c0ad3a5229910cf299b42526924af0f98cf068712edbec7aa4,1920,1080,59.962,7.8883
P01/Về nhà cẩn thận/006.MOV,P01,Về nhà cẩn thận,006.MOV,11686304,bdcad71c16dd2cb3ef511c4200258374ba6bc695f08e1007defaca5fe87644ac,1920,1080,59.9611,7.705
P01/Xin chào/001.MOV,P01,Xin chào,001.MOV,6912664,c2b20de426b7f8b347d2e34eccc777e134c91c56ea4571b4afd17dd8811ab2f9,1920,1080,59.9561,4.5533
P01/Xin chào/002.MOV,P01,Xin chào,002.MOV,7273780,3560811e8cbd61870b6e998dcbf888a7898eb21eaa9e36d7b4f44f0ef400c585,1920,1080,59.9575,4.7033
P01/Xin chào/003.MOV,P01,Xin chào,003.MOV,5021360,49ef4309ba5f5eb2c09183b97151001e8c76d0450671fb667ccc2a0cf126b924,1920,1080,59.9696,3.285
P01/Xin chào/004.MOV,P01,Xin chào,004.MOV,5599081,987895af05e3a8b3b5ad8ad6b95095527752715b39f25bfe5cd62c21917204f5,1920,1080,59.9726,3.6517
P01/Xin chào/005.MOV,P01,Xin chào,005.MOV,8411664,ecc9df69476cbca3ae45b3ff8e43cc45390758486d731513665a207e7cad6233,1920,1080,59.9637,5.5033
P01/Xin chào/006.MOV,P01,Xin chào,006.MOV,8883981,0fa63e1a88c4f0ba4caf010126c5eec2183027e30b5c62979eb177d0c85a9804,1920,1080,59.9653,5.77
P01/Xin lỗi/001.MOV,P01,Xin lỗi,001.MOV,6054791,f8b3e5b534de8d79df8a3206d5928548a73ece9d9e78f6ca71597e4b6e1d5c06,1920,1080,59.9492,3.9367
P01/Xin lỗi/002.MOV,P01,Xin lỗi,002.MOV,7584887,548800b2bcdeaeedf7b16aad3e32057a979afd3e175222c925b4548bac335f81,1920,1080,59.9596,4.9533
P01/Xin lỗi/003.MOV,P01,Xin lỗi,003.MOV,6077571,74ad30f52b57c8c460802bb36256612d9b9dbf6ddcc8f372f58a9a68ad7aacd5,1920,1080,59.9494,3.9533
P01/Xin lỗi/004.MOV,P01,Xin lỗi,004.MOV,6159638,54391d9da0e3ac2e4a6ee3fb2ce069a73b185038a67ee8efb89492cfa0d8b5bf,1920,1080,59.9502,4.02
P01/Xin lỗi/005.MOV,P01,Xin lỗi,005.MOV,7335371,b70221a4fe0544e8b1a42366efaaed07dba18a72f2d9a7a60446419d4599596d,1920,1080,59.9576,4.72
P01/Xin lỗi/006.MOV,P01,Xin lỗi,006.MOV,8521602,d003b60e1dd5edb6c1e9ddc84bd993d542282c26b3112357399098721901bcb7,1920,1080,59.9641,5.57
P01/Đi đâu/001.MOV,P01,Đi đâu,001.MOV,5429741,4c183cbabcdc78cae3f71f2f9b6871461c8932d49c4b340f28d81831c4050142,1920,1080,59.9717,3.535
P01/Đi đâu/002.MOV,P01,Đi đâu,002.MOV,5602365,2ee8c6909b017ddc32b3fba3d40041f32412dd430cc8ef7370ad62c5e2b8f7ef,1920,1080,59.9732,3.735
P01/Đi đâu/003.MOV,P01,Đi đâu,003.MOV,5161660,84f9d62f3ceb3f06219ad2b163948eeaf5ef2f32157690c9f4490dc5d01ace19,1920,1080,59.9707,3.4183
P01/Đi đâu/004.MOV,P01,Đi đâu,004.MOV,4978629,f87ca848d75cf39247c3aa4919992f2e616083776f3a4250aa1c78b224974504,1920,1080,59.9694,3.2683
P01/Đi đâu/005.MOV,P01,Đi đâu,005.MOV,6398925,0b411daeaaf8e2f423b1efb4a6c1ecae794fd6957dc3ea56a8711055d54858b7,1920,1080,59.9526,4.22
P01/Đi đâu/006.MOV,P01,Đi đâu,006.MOV,6196729,321e28c98e638d008ebdee06f35ab53d20180c5a263b15ed0d387914eb18cacd,1920,1080,59.9755,4.085
P01/Được không/001.MOV,P01,Được không,001.MOV,8080978,5639885393961d8c8ed2ba88e231e35ce9157ef8e691928c446696129833c3b7,1920,1080,59.9619,5.2533
